adjudication_id,ems_instruction,escalation
ce8abfbd9ebca2df,1,3
3dac22caceced360,1,2
75f2d630065882c8,1,2
797b902a48666dd6,1,2
fa0b8c282b8758e8,1,3
e92b55209d9ad6e9,1,3
ff34f43ab468f446,1,3
466e713eeb785f8e,1,3
7513aecb47204dc8,1,3
9fa4b4d6b9bb738a,1,3
d25f46d3d055d6ce,1,3
09e4ac5aa533198f,1,2
cbeacb67c7941272,1,3
d9ba6c22836f39da,1,3
2c7667cf5f52077c,1,2
63d3b4a0f30ed7fc,1,3
fd0937755c4109fc,1,3
ad81549374ef1858,1,3
03bfa9eb7ce2edd6,1,3
8ccae3b6fb3eb473,1,3
e709aafd7e0b0fe3,1,3
a78a5a375f02dbf7,1,3
e1a6e4e91b8c1407,1,3
056d7203d89e1a71,1,3
1c972f11a2fc27f9,1,3
33ae052c6a56a6d8,1,2
810a72687a4fdf0a,1,3
20e18d44452a3393,1,2
44479f50a180567f,1,3
57c426f16d3399d6,1,3
74696a75ea0596f3,1,3
57b891964d95b6d0,1,3
87296a6626e8cae7,1,2
f8919e59ad29fdda,1,2
88a33f1d7b0a71a1,1,3
7a5233ffe6fbab81,1,3
4f15e3d36d48af6f,1,2
ebf63d7dd7c874bb,1,3
d524b208f5216da4,1,2
f35ef81d5a9bd8e7,1,3
f7f314770a6c9c3f,1,3
ae5cbd54d5a6eb8e,1,2
1398b317e8d75bbd,1,3
c597c0c4642bceca,1,2
fb40168de347c870,1,3
1b03ed10221983ea,1,3
144f929be746f548,1,3
bbb0adb22db38659,1,3
4ffa61a93101669b,1,2
e9e4f63e4d80a099,1,2
b853381b0f043c4a,1,3
d086111c6c41d33f,1,3
6d8d104e4cd2e738,1,3
cfa1894467b602da,1,3
988b8412eb728c5a,1,2
2fa9582862b1f62a,1,3
a607894458975ddf,1,3
b076cbaedc6a6e98,1,3
1fdc4f342e4dfd59,1,3
338d39af9dc028d0,1,3
a445b8f528b8ab4a,1,3
57fe9a90b243da4a,1,2
f2fafd628a6568d0,1,3
f662211ba909f0f7,1,2
0bb1e6cdb89b2e83,1,3
a4e7d6d86938e37c,1,2
2091bcc3c30e0a50,1,3
eaea118d1fca330d,1,2
fc54bbe13a5be47c,1,3
450a5fa3f89589fa,1,3
d21afab14e290015,1,3
f60c139e921c012f,1,2
d3ecd951e5ae38d0,1,2
e4430d3f705b3901,1,3
adbf370d3e05ab9b,1,3
869372ffc7476cc6,1,3
bbb1257110e03bb3,1,3
c4548d21b74211ea,1,3
98984e38306407c0,1,3
3699a964ade14550,1,2
8d3374e700ac4ac6,1,3
46d12449fb851da4,1,3
4a18594ddc426af9,1,3
804331845f5db612,1,2
309cd058f83d4c85,1,3
47974d3ec0d862a4,1,3
32ebca00264fb75a,1,2
cb92eeafd4dced64,1,3
1f59aaace44a3bf9,1,3
7ff2cdb45877f2f1,1,2
798dba7508f29bb5,1,3
72698f1711183839,1,2
09442e2dbe80807e,1,2
2ce14bfde0242a11,1,3
99016e0c0889a5ff,1,3
b55e5fc4b11272f6,1,3
6bf537c1b44cc399,1,2
1b22a5572ce87a1d,1,2
d3c685fe0e1a8273,1,2
bc999d82d9a09073,1,3
d2946cc94700b7ab,1,3
e7d10b2a68119378,1,3
45364973cf415164,1,3
52e00b4fadde98e5,1,3
dcb45b0cb55ffa4f,1,2
5dfb48491ba4194d,1,2
cc33528156ba3624,1,3
4c90268853188f99,1,2
fa4e447e5f3291d2,1,3
